SECTION,Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated,Mon Apr 06 2026 12:37:18 GMT+0200 (Central European Summer Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description
i137350791,2026-04-05T11:34:53,Long Ride — A longer aerobic ride,VirtualRide,3898,34317.78,4003,157.0,54.4,31.7,true,172,154,83.78052,582,true,156,160,609697,74.76636,61,,7,8.803946,46.45861,31.346796,212,1.0256411,1.038961,true,false,false,,214,,700,,61,58,,54,182,116,154,172,181,186,191,199,33,1826,2039,0,0,0,0,230,202,3466,0,0,0,0,0,80.6,false,false,false,3897,0,0,,,,159,156,13407,173,2026-04-05T09:34:53Z,2026-04-05T10:42:11Z,,fit,2109508052708261888,46.923077,Kickr Core V2,
i136955595,2026-04-03T16:07:15,Endurance Ride — An aerobic ride,Ride,5287,38819.86,5346,293.0,61.9,26.4,true,190,152,87.06055,1004,true,162,200,859624,93.45795,128,,4,7.3425117,51.017063,31.370388,212,1.2345679,1.3157895,,false,false,,214,,700,,128,77,,123,182,116,154,172,181,186,191,199,32,3042,1992,160,30,31,0,1433,835,891,922,547,438,221,884,80.6,false,false,false,5301,0,0,19,182,,195,192,13677,543,2026-04-03T14:07:15Z,2026-04-03T15:37:42Z,,fit,22395575241,164.10257,Scott Foil RC,
i136705501,2026-04-02T16:07:26,Tempo Ride — A medium steady ride,VirtualRide,2789,23554.65,2790,163.0,61.5,30.4,true,171,155,84.51541,489,true,184,187,512300,87.38318,59,,6,8.445554,39.19518,29.042074,212,1.0163044,1.2064517,true,false,false,,214,,700,,59,42,,113,182,116,154,172,181,186,191,199,49,847,1893,0,0,0,0,98,290,961,1440,0,0,0,2394,80.6,false,false,false,2789,0,0,,,,190,187,13583,200,2026-04-02T14:07:26Z,2026-04-02T14:54:39Z,,fit,2107470349892321328,61.458332,,
i135952663,2026-03-30T18:04:31,Recovery Day — An easy ride or rest,VirtualRide,2713,20542.97,2767,274.0,55.5,27.2,true,171,154,76.93641,396,true,153,155,414984,72.42991,40,,5,7.5720496,48.110367,29.701437,212,1.0130719,1.0064934,true,false,false,,214,,700,,40,40,,114,182,116,154,172,181,186,191,199,37,948,1728,0,0,0,0,120,2584,8,1,0,0,0,2,80.6,false,false,false,2711,0,0,,,,153,150,11376,224,2026-03-30T16:04:31Z,2026-03-30T16:51:08Z,,fit,2105355398423773232,72.72727,Scott Foil RC,🗺️ Duchy Estate in Yorkshire
i135438402,2026-03-28T13:35:54,Long Ride — A longer aerobic ride,Ride,11268,79644.99,11304,539.0,48,25.4,true,176,141,84.69279,1834,true,135,169,1530944,78.97196,195,,5,7.068246,56.93516,30.162975,212,1.2518518,1.1985816,,false,false,,214,,700,,195,126,,108,182,116,154,172,181,186,191,199,459,8964,1801,44,0,0,0,3902,2720,1977,1229,781,559,100,1352,80.6,false,false,false,11303,0,0,,,,174,170,14712,636,2026-03-28T12:35:54Z,2026-03-28T18:49:19Z,,fit,22328559578,121.11801,Scott Foil RC,
i135218939,2026-03-27T18:07:50,Threshold Ride — A hard ride (over&unders),VirtualRide,2060,21038.3,2060,32.0,45.8,36.7,true,183,167,83.41762,358,true,182,193,374918,90.18691,47,,8,10.212768,35.733234,26.191189,212,1.0604396,1.1556886,true,false,false,,214,,700,,47,36,,117,182,116,154,172,181,186,191,199,30,341,383,1274,33,0,0,246,282,8,1522,2,1,0,653,80.6,false,false,false,2059,0,0,,,,198,193,19028,345,2026-03-27T17:07:50Z,2026-03-27T18:06:48Z,,fit,2103213295153479728,48.45361,Kickr Core V2,
i134145641,2026-03-23T10:40:30,Mixed Ride — A varied ride,Ride,5859,36816.44,5952,274.0,52.6,22.6,true,188,137,78.10983,840,true,115,177,677629,82.71028,111,,1,6.2837415,52.196835,27.591906,212,1.5391304,1.2919708,,false,false,,214,,700,,111,60,,97,182,116,154,172,181,186,191,199,549,4656,594,14,21,25,0,2868,1261,741,450,263,170,106,546,80.6,false,false,false,5915,0,0,,,,139,137,10422,839,2026-03-23T09:40:30Z,2026-03-23T22:16:17Z,,fit,22269952127,98.23009,Scott Foil RC,
i133479202,2026-03-20T11:26:51,Long Ride — A longer aerobic ride,Ride,10779,73745.05,10931,488.80002,56.8,24.5,true,180,151,83.23361,1737,true,129,166,1405552,77.57009,180,,6,6.841548,57.44249,26.82984,212,1.2868217,1.0993377,,false,false,,214,,700,,180,156,,102,182,116,154,172,181,186,191,199,155,6029,4303,292,0,0,0,4360,2264,1468,1099,756,593,239,1157,80.6,false,false,false,10930,0,0,,,,160,157,13470,638,2026-03-20T10:26:51Z,2026-03-20T16:09:38Z,,fit,22237804211,111.111115,Scott Foil RC,
i133018087,2026-03-18T15:41:41,Endurance Ride — An aerobic ride,Ride,4421,34389.52,4606,224.0,56.2,28,true,185,168,84.9656,921,true,181,202,803841,94.392525,109,,4,7.7786746,44.55292,23.696712,212,1.1160221,1.2023809,,false,false,,214,,700,,109,93,,120,182,116,154,172,181,186,191,199,17,474,2182,1497,251,0,0,848,625,707,893,586,583,179,760,80.0,false,false,false,4442,0,0,20,184,,193,190,13478,544,2026-03-18T14:41:41Z,2026-03-18T15:59:10Z,,fit,22216104384,126.74419,Scott Foil RC,
i132266875,2026-03-15T11:15:08,Long Ride — A longer aerobic ride,Ride,9620,68881.89,9776,454.0,53.3,25.8,true,177,146,82.87262,1627,true,141,175,1362640,81.7757,179,,6,7.1602798,46.117302,22.69678,212,1.2411348,1.1986301,,false,false,,214,,700,,179,117,,110,182,116,154,172,181,186,191,199,120,6845,2545,110,0,0,0,3297,2228,1490,1087,713,597,208,1171,80.5,false,false,false,9645,0,0,,,,175,171,14600,822,2026-03-15T10:15:08Z,2026-03-15T18:59:45Z,,fit,22181420346_ACTIVITY.fit,111.18012,,
